Htno,Subcode,Subname,Internals,Grade,Credits
19B81A0131,R1932016,ENVIRONMENTAL ENGINEERING LAB,17,S,1.5
19B81A0131,R1932017,SOCIALLY RELEVANT PROJECT,18,O,1.0
19B81A0131,R1932018,EMPLOYABILITY SKILLS,0,COMPLE,0.0
19B81A0131,R193201A,PRE-STRESSED CONCRETE,17,A,3.0
19B81A0131,R193201G,ENVIRONMENTAL POLLUTION & CONTROL,18,B,3.0
19B81A0132,R1932011,DESIGN & DRAWING OF REINFORCED CONCRETE,19,C,3.0
19B81A0132,R1932012,WATER RESOURCES ENGINEERING-II,19,B,3.0
19B81A0132,R1932013,GEOTECHNICAL ENGINEERING-I,20,A,3.0
19B81A0132,R1932014,MANAGERIAL ECONOMICS & FINANCIAL ANALYSI,25,F,0.0
19B81A0132,R1932015,CAD LAB,20,O,1.5
19B81A0132,R1932016,ENVIRONMENTAL ENGINEERING LAB,20,O,1.5
19B81A0132,R1932017,SOCIALLY RELEVANT PROJECT,19,O,1.0
19B81A0132,R1932018,EMPLOYABILITY SKILLS,0,COMPLE,0.0
19B81A0132,R193201A,PRE-STRESSED CONCRETE,21,B,3.0
19B81A0132,R193201G,ENVIRONMENTAL POLLUTION & CONTROL,19,A,3.0
19B81A0133,R1932011,DESIGN & DRAWING OF REINFORCED CONCRETE,13,F,0.0
19B81A0133,R1932012,WATER RESOURCES ENGINEERING-II,16,D,3.0
19B81A0133,R1932013,GEOTECHNICAL ENGINEERING-I,21,D,3.0
19B81A0133,R1932014,MANAGERIAL ECONOMICS & FINANCIAL ANALYSI,24,C,3.0
19B81A0133,R1932015,CAD LAB,16,S,1.5
19B81A0133,R1932016,ENVIRONMENTAL ENGINEERING LAB,14,A,1.5
19B81A0133,R1932017,SOCIALLY RELEVANT PROJECT,18,S,1.0
19B81A0133,R1932018,EMPLOYABILITY SKILLS,0,COMPLE,0.0
19B81A0133,R193201A,PRE-STRESSED CONCRETE,19,C,3.0
19B81A0133,R193201G,ENVIRONMENTAL POLLUTION & CONTROL,16,D,3.0
19B81A0134,R1932011,DESIGN & DRAWING OF REINFORCED CONCRETE,2,F,0.0
19B81A0134,R1932012,WATER RESOURCES ENGINEERING-II,12,D,3.0
19B81A0134,R1932013,GEOTECHNICAL ENGINEERING-I,13,D,3.0
19B81A0134,R1932014,MANAGERIAL ECONOMICS & FINANCIAL ANALYSI,18,F,0.0
19B81A0134,R1932015,CAD LAB,16,A,1.5
19B81A0134,R1932016,ENVIRONMENTAL ENGINEERING LAB,14,F,0.0
19B81A0134,R1932017,SOCIALLY RELEVANT PROJECT,17,A,1.0
19B81A0134,R1932018,EMPLOYABILITY SKILLS,0,COMPLE,0.0
19B81A0134,R193201A,PRE-STRESSED CONCRETE,10,D,3.0
19B81A0134,R193201G,ENVIRONMENTAL POLLUTION & CONTROL,10,F,0.0
19B81A0135,R1932011,DESIGN & DRAWING OF REINFORCED CONCRETE,18,D,3.0
19B81A0135,R1932012,WATER RESOURCES ENGINEERING-II,17,C,3.0
